CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1265993,2,經銷商問題,台哥大-電訪約裝,0.0
1247802,1,帳務相關,拆機挽回,-1.0
1065263,2,網路連線問題,Cable modem連線,-0.5
111999,1,帳務問題,頻寬方案費率,0.0
957065,4,網路連線問題,網路品質,-0.25
1145502,1,網路連線問題,無法上網,-1.0
1245935,1,帳務問題,繳費相關問題,0.0
1039546,1,網路連線問題,無法上網,-1.0
971909,1,網路連線問題,無法上網,0.0
1266525,1,經銷商問題,遠傳電信-電訪約裝,0.0
1135749,2,帳務問題,帳單金額/帳單週期問題,0.5
879602,1,網路連線問題,Cable modem連線,0.0
1227882,1,帳務問題,用戶要求優惠,0.0
1266098,1,經銷商問題,台哥大-電訪約裝,0.0
1188122,1,帳務相關,拆機挽回,0.0
148029,2,帳務相關,拆機挽回,-0.5
1266721,2,經銷商問題,台哥大-電訪約裝,-0.5
1068361,1,網路連線問題,無法上網,0.0
1185638,1,經銷商問題,台哥大-電訪約裝,0.0
1180877,2,經銷商問題,台哥大-電訪約裝,0.0
1266479,1,經銷商問題,遠傳電信-電訪約裝,0.0
1265985,1,經銷商問題,遠傳電信-電訪約裝,0.0
131990,3,網路連線問題,網路品質,0.3333333333333333
992370,1,網路連線問題,無法上網,0.0
1226983,3,經銷商問題,遠傳電信-電訪約裝,0.3333333333333333
1209258,1,帳務相關,拆機挽回,0.0
44757,2,網路連線問題,無法上網,-0.5
1072499,1,帳務相關,拆機挽回,0.0
843199,1,網路連線問題,網路品質,-2.0
1154898,1,網路連線問題,Cable modem連線,0.0
829642,5,帳務問題,頻寬方案費率,-0.2
1177638,2,經銷商問題,台哥大-電訪約裝,-0.5
146089,1,網路連線問題,Cable modem連線,-1.0
1186961,1,網路連線問題,連線其他相關問題,-1.0
1174466,1,網路連線問題,連線其他相關問題,0.0
1266163,1,經銷商問題,台哥大-電訪約裝,0.0
968723,2,非連線問題,用戶移機,0.0
1265843,4,經銷商問題,台哥大-電訪約裝,0.0
678951,1,網路連線問題,無法上網,-1.0
681681,1,網路連線問題,無法上網,0.0
1264759,1,經銷商問題,遠傳電信-電訪約裝,0.0
1215322,1,網路連線問題,無法上網,0.0
1266463,1,經銷商問題,台哥大-電訪約裝,0.0
1151447,2,網路連線問題,網路品質,0.0
1266360,2,經銷商問題,台哥大-人員進電,0.0
934149,2,網路連線問題,無法上網,-0.5
1252122,1,網路連線問題,無法上網,0.0
1228433,1,註冊問題,註冊引導,0.0
1266038,1,新產品,高頻寬,0.0
1143543,1,網路連線問題,無法上網,-1.0
1266375,1,經銷商問題,台哥大-電訪約裝,0.0
92106,2,網路連線問題,無法上網,0.5
1165626,2,網路連線問題,無法上網,0.0
1266543,1,經銷商問題,台哥大-電訪約裝,0.0
1194993,1,網路連線問題,無法上網,0.0
1089855,1,網路連線問題,無法上網,-1.0
1232565,1,帳務相關,拆機挽回,0.0
1265962,1,註冊問題,註冊引導,0.0
905554,1,網路連線問題,網路品質,0.0
1265905,1,經銷商問題,遠傳電信-電訪約裝,0.0
1266057,1,經銷商問題,台哥大-電訪約裝,0.0
140412,2,網路連線問題,無法上網,-0.5
963633,3,網路連線問題,Cable modem連線,0.0
1037432,3,網路連線問題,台哥大-人員進電,0.0
1143530,1,網路連線問題,無法上網,0.0
43262,1,網路連線問題,無法上網,0.0
921641,1,網路連線問題,無法上網,0.0
10142,1,網路連線問題,無法上網,0.0
857670,1,網路連線問題,無法上網,0.0
1062815,1,網路連線問題,網路品質,0.0
1259825,4,經銷商問題,台哥大-人員進電,-0.5
813541,2,網路連線問題,無法上網,-0.5
841927,1,帳務相關,拆機挽回,0.0
682654,1,網路連線問題,無法上網,0.0
1157522,1,網路連線問題,無法上網,0.0
1190311,1,網路連線問題,網路品質,0.0
1246076,1,網路連線問題,無法上網,0.0
1265952,1,網路連線問題,網路品質,0.0
853754,1,網路連線問題,無法上網,0.0
1180716,2,經銷商問題,Cable modem連線,0.5
1266359,1,經銷商問題,台哥大-電訪約裝,0.0
857679,1,網路連線問題,無法上網,0.0
693777,2,非連線問題,升級換CM,0.0
1266696,1,經銷商問題,台哥大-電訪約裝,0.0
1090584,1,帳務相關,拆機挽回,0.0
1094813,1,帳務相關,拆機挽回,-1.0
46953,1,網路連線問題,無法上網,0.0
42561,1,網路連線問題,連線其他相關問題,0.0
1266024,1,經銷商問題,遠傳電信-電訪約裝,0.0
103382,1,網路連線問題,無法上網,0.0
76401,1,網路連線問題,無法上網,0.0
1266658,2,帳務問題,頻寬方案費率,0.5
972901,3,網路連線問題,網路品質,-0.6666666666666666
43974,1,網路連線問題,無法上網,-1.0
790662,1,非連線問題,固定Ip問題,0.0
960800,1,網路連線問題,無法上網,0.0
1264864,2,非連線問題,固定Ip問題,0.0
127133,1,帳務問題,自動轉帳扣款,-1.0
684620,1,帳務問題,繳費相關問題,0.0
1072052,1,帳務問題,用戶要求優惠,0.0
1234078,1,網路連線問題,無法上網,-1.0
714368,1,網路連線問題,無法上網,1.0
1265934,1,經銷商問題,台哥大-電訪約裝,0.0
1266274,1,經銷商問題,台哥大-電訪約裝,0.0
865769,1,網路連線問題,無法上網,-2.0
17914,1,帳務問題,繳費相關問題,0.0
1254698,1,網路連線問題,網路品質,-1.0
1155335,1,網路連線問題,無法上網,0.0
1254134,2,經銷商問題,台哥大-人員進電,0.5
1265899,1,經銷商問題,遠傳電信-電訪約裝,0.0
1259025,1,網路連線問題,無法上網,0.0
1264743,1,網路連線問題,無法上網,1.0
1265935,1,經銷商問題,遠傳電信-電訪約裝,0.0
120877,1,網路連線問題,無法上網,0.0
1184776,1,經銷商問題,台哥大-電訪約裝,0.0
1265948,1,經銷商問題,台哥大-電訪約裝,0.0
1224096,1,帳務相關,拆機挽回,-1.0
750167,1,帳務問題,繳費相關問題,0.0
146964,1,帳務相關,拆機挽回,-1.0
1251228,1,網路連線問題,無法上網,-1.0
971962,1,網路連線問題,無法上網,0.0
1048519,1,帳務問題,用戶復線,0.0
1241476,1,網路連線問題,無法上網,-1.0
1265884,2,經銷商問題,台哥大-電訪約裝,0.0
65064,2,網路連線問題,無法上網,0.5
1184996,1,帳務相關,拆機挽回,0.0
908566,2,網路連線問題,無法上網,-0.5
1253976,1,網路連線問題,無法上網,-1.0
