CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
843508,1,網路連線問題,無法上網,0.0
1229931,8,經銷商問題,網路品質,-0.125
1085667,1,網路連線問題,無法上網,0.0
1162210,8,網路連線問題,拆機挽回,-0.25
1174984,2,網路連線問題,Cable modem連線,-1.0
1229386,1,經銷商問題,台哥大-電訪約裝,0.0
1050160,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
754266,1,網路連線問題,無法上網,0.0
875159,2,網路連線問題,無法上網,0.0
749790,1,網路連線問題,Cable modem連線,-1.0
621582,3,網路連線問題,網路品質,0.6666666666666666
1142533,1,網路連線問題,無法上網,0.0
1229631,4,經銷商問題,台哥大-電訪約裝,0.25
1230577,4,經銷商問題,遠傳電信-電訪約裝,-0.5
834802,1,網路連線問題,Cable modem連線,0.0
1152654,1,帳務相關,拆機挽回,0.0
367805,2,帳務相關,拆機挽回,0.0
1086940,2,網路連線問題,無法上網,-0.5
1207129,6,網路連線問題,網路品質,-0.3333333333333333
862666,6,網路連線問題,無法上網,0.5
1085450,1,網路連線問題,無法上網,-1.0
1230687,1,經銷商問題,台哥大-電訪約裝,0.0
631263,2,網路連線問題,無法上網,0.5
816104,3,網路連線問題,無法上網,-0.3333333333333333
1230068,3,經銷商問題,遠傳電信-電訪約裝,0.0
835931,2,網路連線問題,無法上網,0.0
1229596,2,經銷商問題,Cable modem連線,0.0
1152669,1,網路連線問題,無法上網,0.0
948567,3,網路連線問題,無法上網,0.0
1214277,1,網路連線問題,無法上網,-1.0
862392,2,網路連線問題,無法上網,-1.0
1230983,2,經銷商問題,遠傳電信-人員進電,0.0
1082479,4,網路連線問題,Cable modem連線,0.0
1231002,2,經銷商問題,遠傳電信-電訪約裝,0.5
1205720,6,網路連線問題,無法上網,-0.16666666666666666
128238,3,網路連線問題,無法上網,0.3333333333333333
1215914,2,網路連線問題,無法上網,-0.5
1230827,3,網路連線問題,無法上網,-0.3333333333333333
1228429,9,經銷商問題,台哥大-電訪約裝,0.0
731364,1,網路連線問題,連線其他相關問題,0.0
881016,1,網路連線問題,無法上網,0.0
1169979,4,網路連線問題,網路品質,-0.25
802836,2,網路連線問題,無法上網,-0.5
1227820,1,經銷商問題,遠傳電信-電訪約裝,0.0
923390,1,網路連線問題,無法上網,0.0
1211574,2,經銷商問題,Cable modem連線,0.5
995164,5,網路連線問題,無法上網,-0.4
1070622,2,網路連線問題,網路品質,-0.5
1022927,2,網路連線問題,無法上網,0.0
1196547,1,網路連線問題,無法上網,0.0
540063,1,網路連線問題,無法上網,0.0
974536,1,網路連線問題,網路品質,0.0
1131629,2,帳務相關,Cable modem連線,-1.0
962866,2,帳務相關,拆機挽回,-0.5
622111,2,網路連線問題,無法上網,0.0
822019,1,網路連線問題,無法上網,0.0
